书名,图片,评论数,推荐量,作者,出版社,售价,原价,折扣,电子书价格,详情页,more
橘子不是唯一的水果,http://img3m7.ddimg.cn/15/1/25233927-1_l_2.jpg,266817.0,99.9%,（英）珍妮特・温特森  著， 新经典  出品,北京联合出版有限公司,¥24.50,¥49.00,5.0折,¥21.99,http://product.dangdang.com/25233927.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""社会小说""], [""图书"", ""小说"", ""外国小说"", ""其他国家""]]}"
狂人日记：鲁迅小说全集（1938年复社底本，中国白话小说开山之作。收录鲁迅全部小说，多篇入选语文课本）团购电话：4001066666转6,http://img3m7.ddimg.cn/53/2/29277917-1_l_6.jpg,130608.0,100%,鲁迅,中国友谊出版公司,¥19.50,¥39.80,4.9折,¥15.92,http://product.dangdang.com/29277917.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]}"
神奇校车・桥梁书版（全20册）,http://img3m0.ddimg.cn/61/3/23444350-1_l_61.jpg,1430625.0,99.9%,乔安娜柯尔　著 布鲁斯迪根 图　施芳　译,贵州人民出版社,¥75.00,¥150.00,5.0折,,http://product.dangdang.com/23444350.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""科普/百科"", ""科普""], [""图书"", ""童书"", ""7-10岁"", ""科普/百科""], [""图书"", ""童书"", ""科学认知""]]}"
人间值得（90岁心理医生恒子奶奶写给生活的哲思小书。十点读书、《读者》2019年度“十大影响力好书”、人民日报力荐2020新年书单。）,http://img3m6.ddimg.cn/39/17/27931206-1_l_582.jpg,647246.0,100%,[日]中村恒子（恒子奶奶）著，紫图图书  出品,北京日报出版社,¥24.90,¥49.90,5.0折,¥3.99,http://product.dangdang.com/27931206.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""人生哲学"", ""生活哲学""]]}"
瓦尔登湖（反内卷鼻祖梭罗的简单生活智慧书，按下精神内耗暂停键，帮助托尔斯泰等人找到理想生活方式，赠吊牌式书签）,http://img3m7.ddimg.cn/30/18/29472627-1_l_3.jpg,98.0,99%,[美]梭罗，创美工厂出品,中国友谊出版公司,¥17.60,¥36.00,4.9折,,http://product.dangdang.com/29472627.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""初中阅读"", ""语文阅读""]]}"
动物农场（反乌托邦小说经典，与《一九八四》齐名。村上春树、王小波、钱钟书推崇）,http://img3m6.ddimg.cn/84/10/29245476-1_l_10.jpg,12351.0,100%,[英]乔治・奥威尔,中国友谊出版公司,¥19.90,¥39.80,5.0折,¥9.59,http://product.dangdang.com/29245476.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""世界名著"", ""欧洲""]]}"
东野圭吾：解忧杂货店（胡歌、王俊凯、刘昊然倾情推荐，简体中文1000万册纪念版）,http://img3m1.ddimg.cn/75/26/29117361-1_l_11.jpg,2540713.0,99.7%,（日）东野圭吾  著， 新经典  出品,南海出版公司,¥29.50,¥59.00,5.0折,¥39.99,http://product.dangdang.com/29117361.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""外国小说"", ""日本""]]}"
人生没什么不可放下：弘一法师的人生智慧（弘一法师彻悟一生的人生真谛，帮你重遇未知的自己，逆袭人生！）,http://img3m3.ddimg.cn/64/12/23394853-1_l_37.jpg,195253.0,99.8%,宋默 著，文通天下 出品,团结出版社,¥8.80,¥32.80,2.7折,¥12.90,http://product.dangdang.com/23394853.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""人生哲学"", ""人生智慧""]]}"
圆圈正义,http://img3m5.ddimg.cn/48/6/27925275-1_l_23.jpg,174297.0,100%,罗翔,中国法制出版社,¥28.50,¥46.00,6.2折,,http://product.dangdang.com/27925275.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""法律"", ""法学文集/经典著作""]]}"
【2022年新版】营销管理（第16版，现代营销学之父菲利普・科特勒，适合当下商业环境的全新版本  团购电话400-106-6666转6）,http://img3m4.ddimg.cn/48/11/29457894-1_l_17.jpg,10237.0,100%,菲利普・科特勒 凯文・莱恩・凯勒 亚历山大・切尔内夫,中信出版社,¥79.00,¥158.00,5.0折,¥79.00,http://product.dangdang.com/29457894.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""管理"", ""市场/营销"", ""市场营销""]]}"
bibi动物园：忍不住想打扰你（超人气原创治愈小漫画！随手一翻，嘴角一弯。2100万人点赞，阅读量超5亿！）,http://img3m8.ddimg.cn/5/29/29292818-1_l_11.jpg,74066.0,100%,bibi 园长 著 ， 新经典   出品,南海出版公司,¥35.20,¥49.00,7.2折,¥29.40,http://product.dangdang.com/29292818.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""动漫/幽默"", ""大陆漫画"", ""其他大陆漫画""]]}"
宝葫芦的秘密(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 160000多名读者热评！,http://img3m3.ddimg.cn/19/12/23298283-1_l_31.jpg,260792.0,99.9%,张天翼著,南方出版社,¥5.10,¥14.80,3.4折,,http://product.dangdang.com/23298283.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]}"
职场晋升101（学会本书一小半，骑着火箭往上蹿！30万人验证过的职场干货，解决长期痛点！努力工作非常重要，升职加薪另有诀窍！）,http://img3m4.ddimg.cn/25/34/29387284-1_l_6.jpg,31860.0,100%,崔璀；读客文化 出品,江苏凤凰文艺出版社,¥20.00,¥49.00,4.1折,¥29.99,http://product.dangdang.com/29387284.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""人在职场"", ""职场人际/职场智慧""]]}"
兄弟（余华巅峰之作！有的人活着，生死疲劳；有的人活着，任性逍遥。一部真正伟大又好看的小说。2022新版）,http://img3m6.ddimg.cn/23/34/29424506-1_l_9.jpg,63293.0,100%,余华  著 ，新经典  出品,北京十月文艺出版社,¥54.50,¥79.00,6.9折,,http://product.dangdang.com/29424506.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""社会小说""]]}"
天官赐福・壹（赠送：Q版任务贴纸+绘师Q版头像印签+限定银蝶书签）,http://img3m9.ddimg.cn/85/14/29345269-1_l_6.jpg,63194.0,100%,墨香铜臭 原著，白梦社STARember编绘,中信出版社,¥46.80,¥59.80,7.8折,,http://product.dangdang.com/29345269.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""动漫/幽默"", ""大陆漫画"", ""科幻/武侠/玄幻""]]}"
茶花女（法国文豪小仲马，翻译家李玉民未删节全译本，收录作者小传及珍贵照片，新增3000字后记）,http://img3m5.ddimg.cn/92/6/29296865-1_l_7.jpg,6307.0,100%,作者  [法]小仲马  译者  李玉民  创美工厂出品,中国友谊出版公司,¥19.90,¥39.90,5.0折,¥15.96,http://product.dangdang.com/29296865.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""世界名著"", ""欧洲""]]}"
小屁孩的一天（小小斯凯瑞）,http://img3m6.ddimg.cn/27/31/27865656-1_l_3.jpg,443.0,99.8%,理查德・斯凯瑞( Richard Scarry),中信出版社,¥15.90,¥31.80,5.0折,,http://product.dangdang.com/27865656.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""益智游戏"", ""互动游戏书""], [""图书"", ""童书"", ""3-6岁"", ""益智游戏""]]}"
郭论典藏礼盒版（当当专享随机亲签版+亲笔画锦绫卷轴+开箱纪念明信片，郭论+捡史+江湖+谋事全四册）,http://img3m8.ddimg.cn/72/0/29429208-1_l_2.jpg,6250.0,99.9%,"郭德纲 著,博集天卷 出品",湖南文艺出版社,¥119.50,¥239.00,5.0折,,http://product.dangdang.com/29429208.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文化"", ""文化随笔""]]}"
法治的细节（罗翔新作，法律随笔，评热点、论法理、聊读书、谈爱情，人间清醒与你坦诚相见）,http://img3m4.ddimg.cn/21/25/29323524-1_l_20.jpg,252978.0,100%,罗翔，果麦文化 出品,云南人民出版社,¥24.90,¥49.80,5.0折,¥39.99,http://product.dangdang.com/29323524.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""法律"", ""法律随笔""]]}"
罗小黑战记1（豆瓣9.6分的国民动画！TV动画4月24日起每周六更新！每次看罗小黑，负能量都瞬间没！）,http://img3m3.ddimg.cn/16/8/23737543-1_l_20.jpg,30059.0,99.9%,MTJJ 著；读客文化 出品,北京联合出版公司,¥17.90,¥39.80,4.5折,¥9.99,http://product.dangdang.com/23737543.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""动漫/幽默"", ""大陆漫画"", ""其他大陆漫画""]]}"
一句顶一万句（当当专享印签版）,http://img3m7.ddimg.cn/93/36/29437347-1_l_13.jpg,207926.0,99.8%,刘震云，长江新世纪 出品,花城出版社,¥34.00,¥68.00,5.0折,,http://product.dangdang.com/29437347.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""中国当代小说""]]}"
非暴力沟通（修订版）,http://img3m2.ddimg.cn/54/11/29302272-1_l_10.jpg,798516.0,100%,（美）马歇尔 卢森堡Marshall B.Rosenberg,华夏出版社,¥48.10,¥59.80,8.0折,¥16.00,http://product.dangdang.com/29302272.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""人际交往"", ""沟通艺术""]]}"
尼尔斯骑鹅旅行记 快乐读书吧 六年级下册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 130000多名读者热评！,http://img3m6.ddimg.cn/12/7/23379456-1_l_34.jpg,248217.0,99.9%,（瑞典）拉格洛夫,南方出版社,¥7.30,¥16.80,4.3折,,http://product.dangdang.com/23379456.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]}"
小王子（原版精美插图，傅雷翻译出版奖得主郑克鲁法文直译。揭秘作者传奇人生，展示与《小王子》有关的钱币、纪念章、邮票等）,http://img3m6.ddimg.cn/34/34/25289386-1_l_24.jpg,248421.0,100%,(法) 圣埃克苏佩里、郑克鲁译,浙江工商大学出版社,¥11.70,¥26.00,4.5折,,http://product.dangdang.com/25289386.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""语文阅读""]]}"
海底两万里(《语文》阅读丛书)七年级下册阅读人民文学出版社,http://img3m0.ddimg.cn/1/19/25283710-1_l_6.jpg,125189.0,100%,（法国）儒勒・凡尔纳,人民文学出版社,¥16.40,¥35.00,4.7折,¥18.00,http://product.dangdang.com/25283710.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""初中阅读"", ""语文阅读""]]}"
悉达多（诺贝尔文学奖得主赫尔曼・黑塞的代表作，德文直译，原版呈现。）,http://img3m7.ddimg.cn/67/34/29173387-1_l_11.jpg,68219.0,100%,（德）赫尔曼・黑塞著 赵丽慧译,民主与建设出版社,¥24.90,¥49.80,5.0折,¥4.99,http://product.dangdang.com/29173387.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""外国小说"", ""英国""]]}"
夏洛的网(2020版）（三年级阅读经典书目）,http://img3m8.ddimg.cn/86/8/28533668-1_l_7.jpg,1200635.0,99.3%,（美）怀特　著，任溶溶　译,上海译文出版社,¥23.40,¥37.00,6.3折,,http://product.dangdang.com/28533668.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""外国儿童文学"", ""童话故事""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""开学必备""]]}"
傅雷家书（赠定制版拉页）,http://img3m8.ddimg.cn/18/17/29483208-1_l_14.jpg,177.0,99.4%,傅雷著，麦书房出品，有容书邦 发行,北岳文艺出版社,¥9.90,¥35.00,2.8折,,http://product.dangdang.com/29483208.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国现当代随笔""]]}"
人类群星闪耀时（全新增订版。15个永载史册的英雄人物，余华推荐）,http://img3m1.ddimg.cn/77/29/29436341-1_l_17.jpg,9674.0,100%,[奥]斯蒂芬・ 茨威格 创美工厂出品,中国友谊出版公司,¥24.90,¥49.80,5.0折,¥18.00,http://product.dangdang.com/29436341.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""传记"", ""人物合集""]]}"
简爱（译自1847年首版，全新修订无删节，新增作者小传+珍贵照片。文学场域中女性主义先声）,http://img3m1.ddimg.cn/85/13/29429221-1_l_4.jpg,6714.0,100%,[英]夏洛蒂・勃朗特 创美工厂出品,中国友谊出版公司,¥24.90,¥49.80,5.0折,,http://product.dangdang.com/29429221.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""世界名著"", ""欧洲""]]}"
基层女性,http://img3m2.ddimg.cn/90/4/29271222-1_l_7.jpg,37506.0,100%,王慧玲,中国友谊出版公司,¥49.80,¥49.80,10.0折,¥9.99,http://product.dangdang.com/29271222.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""心理学"", ""心理学入门""]]}"
球状闪电（典藏版）,http://img3m3.ddimg.cn/42/14/24566793-1_l_8.jpg,91042.0,100%,刘慈欣 著，科幻世界出品,四川科技出版社,¥12.50,¥25.00,5.0折,¥9.99,http://product.dangdang.com/24566793.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""科幻小说""], [""图书"", ""小说"", ""中国当代小说""]]}"
脑雾修复（21天清除脑雾，唤回你的注意力、记忆力与喜悦 有健忘、失神等症状的人，特别适用）,http://img3m2.ddimg.cn/20/3/29434502-1_l_11.jpg,3447.0,100%,[美]麦克・道著，刘又菘译，紫图图书出品,科学技术文献出版社,¥27.50,¥55.00,5.0折,¥9.99,http://product.dangdang.com/29434502.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""保健/养生"", ""健康百科""]]}"
围城,http://img3m9.ddimg.cn/19/20/25095529-1_l_3.jpg,246527.0,99.9%,钱钟书,人民文学出版社,¥21.70,¥36.00,6.0折,,http://product.dangdang.com/25095529.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""社会小说""]]}"
波西和皮普7册经典套装（小小聪明豆系列绘本）0-3岁低幼启蒙情绪管理绘本，发现快乐，体验成长！,http://img3m7.ddimg.cn/93/20/23769597-1_l_6.jpg,216272.0,100%,（德）阿克塞尔・舍夫勒著/绘,外语教学与研究出版社,¥39.00,¥73.00,5.3折,,http://product.dangdang.com/23769597.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""婴儿读物"", ""图画故事书""], [""图书"", ""童书"", ""0-2岁"", ""图画故事""], [""图书"", ""童书"", ""亲子游戏""]]}"
权力结构、政治激励和经济增长--基于浙江民营经济发展经验的政治经济学分析,http://img3m9.ddimg.cn/7/25/28474189-1_l_2.jpg,3489.0,100%,刘明兴、章奇,格致出版社,¥38.90,¥59.00,6.6折,,http://product.dangdang.com/28474189.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""经济"", ""中国经济"", ""中国经济概况""]]}"
沉思录,http://img3m9.ddimg.cn/43/26/20086549-1_l_4.jpg,396475.0,99.5%,马可.奥勒留 青豆书坊 出品,中央编译出版社,¥13.00,¥20.00,6.5折,¥6.79,http://product.dangdang.com/20086549.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""哲学/宗教"", ""哲学"", ""世界哲学""]]}"
文化苦旅（余秋雨亲定版本，了解中国文化脉络的经典著作，三代人共读的文学典范，中国家长送给子女更多的一本书）,http://img3m6.ddimg.cn/22/7/28541326-1_l_7.jpg,66142.0,100%,余秋雨,北京联合出版有限公司,¥24.00,¥52.00,4.6折,,http://product.dangdang.com/28541326.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国现当代随笔""]]}"
吸引力法则（稻盛和夫推荐学习的课程。掌握吸引力法则是创造梦想人生的关键！销售、谈判、职场、人际关系……成功工具书。）,http://img3m9.ddimg.cn/75/13/25278339-1_l_28.jpg,111645.0,100%,（美）杰克・坎菲尔德，D.D.沃特金 著   译者：张彩，双螺旋文化 出品,光明日报出版社,¥14.90,¥29.80,5.0折,,http://product.dangdang.com/25278339.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""人际交往"", ""交往/与人相处""]]}"
梁实秋：为这人间操碎了心（一本解闷宝书，文学泰斗梁实秋趣味散文选，创作100周年纪念版）,http://img3m0.ddimg.cn/11/29/29129870-1_l_31.jpg,72373.0,100%,梁实秋 著  时代华语 出品,中国友谊出版公司,¥19.80,¥42.00,4.7折,,http://product.dangdang.com/29129870.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国现当代随笔""]]}"
我妈妈的手提包,http://img3m3.ddimg.cn/28/22/26514703-1_l_20.jpg,38016.0,99.9%,[美] 保罗・汉森 著/绘；徐超 译；心喜阅童书出品,长江少年儿童出版社,¥53.40,¥128.00,4.2折,,http://product.dangdang.com/26514703.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""玩具书"", ""其他""], [""图书"", ""童书"", ""3-6岁"", ""玩具书""], [""图书"", ""童书"", ""亲子游戏""]]}"
鲁滨孙漂流记(语文教材“快乐读书吧”六年级下阅读，也译《鲁滨逊漂流记》),http://img3m5.ddimg.cn/44/22/24187625-1_l_13.jpg,134049.0,99.9%,"[英] 丹尼尔・笛福  著 ,  王晋华  译",浙江工商大学出版社,¥12.60,¥28.00,4.5折,¥1.99,http://product.dangdang.com/24187625.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]}"
理想国（2020全译本，西方哲学的源头，清华大学、北京大学图书馆借阅榜首位）,http://img3m0.ddimg.cn/57/28/28973100-1_l_9.jpg,81613.0,100%,（古希腊）柏拉图著  张俊译 知书达礼 出品,民主与建设出版社,¥30.40,¥56.00,5.4折,¥9.40,http://product.dangdang.com/28973100.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""哲学/宗教"", ""哲学"", ""哲学理论""]]}"
红楼梦 四大名著 高中“读整本书”推荐阅读（足本典藏精装 无障碍阅读 疑难字注音 解词释义）9万读者好评！,http://img3m6.ddimg.cn/59/32/23992016-1_l_9.jpg,150140.0,99.9%,曹雪芹,商务印书馆,¥13.90,¥46.00,3.0折,,http://product.dangdang.com/23992016.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""初中阅读"", ""四大名著""]]}"
追风筝的人（李雪琴、高圆圆动情推荐，《纽约时报》畅销书榜上榜超100周）,http://img3m8.ddimg.cn/73/8/29211508-1_l_20.jpg,1110319.0,100%,[美]卡勒德・胡赛尼（Khaled Hosseini） 著，李继宏 译,上海人民出版社,¥22.50,¥45.00,5.0折,,http://product.dangdang.com/29211508.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""外国小说"", ""美国""]]}"
夏天、烟火和我的尸体（张震、田�D推荐。乙一16岁惊世成名作，高口碑暗黑杰作，获第6届JUMP小说大奖）,http://img3m6.ddimg.cn/28/30/27941986-1_l_9.jpg,246209.0,100%,（日）乙一   著，  新经典   出品,南海出版公司,¥22.50,¥45.00,5.0折,¥16.20,http://product.dangdang.com/27941986.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""外国小说"", ""日本""]]}"
科幻世界・三体(三)死神永生,http://img3m7.ddimg.cn/29/34/20994167-1_l_12.jpg,285896.0,99.9%,刘慈欣，科幻世界出品,重庆出版社,¥19.00,¥38.00,5.0折,¥15.99,http://product.dangdang.com/20994167.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""科幻小说""], [""图书"", ""小说"", ""中国当代小说""]]}"
平面国（精装珍藏版，《三体》的灵感来源，“空间”启蒙书）,http://img3m3.ddimg.cn/58/36/29345143-1_l_8.jpg,3122.0,100%,�z英�{埃德温A. 艾勃特 著，麦书房出品，有容书邦发行,江苏凤凰文艺出版社,¥19.90,¥39.80,5.0折,,http://product.dangdang.com/29345143.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""科幻小说""]]}"
这世界很烦，但你要很可爱（只要你可爱，这个世界也会变得可爱）,http://img3m0.ddimg.cn/26/10/29196710-1_l_26.jpg,67320.0,100%,杨红 著,水利水电出版社,¥23.00,¥46.00,5.0折,,http://product.dangdang.com/29196710.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""人生哲学"", ""人生智慧""]]}"
从零开始学写作：18套写作变现法则,http://img3m8.ddimg.cn/17/14/29134628-1_l_8.jpg,21768.0,100%,杨晓菁 著 ; 斯坦威 出品,中国友谊出版公司,¥20.30,¥45.00,4.5折,¥12.99,http://product.dangdang.com/29134628.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""社会科学"", ""语言文字"", ""写作与修辞""]]}"
鲁滨逊漂流记 新版（全译精装典藏版 无障碍阅读 朱永新及各省级教育专家联袂推荐）,http://img3m1.ddimg.cn/24/9/25101771-1_l_21.jpg,78079.0,99.9%,（英）丹尼尔 笛福,商务印书馆,¥15.90,¥31.80,5.0折,,http://product.dangdang.com/25101771.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""初中阅读"", ""课外阅读""]]}"
