书名,图片,评论数,推荐量,作者,出版日期,出版社,售价,原价,折扣,电子书价格,详情页,keys,cates,desc
快乐读书吧四年级下册 十万个为什么 细菌世界历险记:灰尘的旅行 穿过地平线:看看我们的地球 爷爷的爷爷哪里来:人类起源的演化过程 小学推荐阅读套装4册 全彩有声,http://img3m0.ddimg.cn/24/0/28520340-1_l_28.jpg,12165.0,99.9%,（苏联）米 伊林，高士其，李四光等,2020-03-01,商务印书馆,¥55.10,¥110.20,5.0折,,http://product.dangdang.com/28520340.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：28520340""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",新老版本任意发货  
写给儿童的中国历史（中国孩子的历史启蒙，真正写给孩子看的中国通史，全彩铜版14册）,http://img3m6.ddimg.cn/76/35/23427436-1_l_18.jpg,1042487.0,99.8%,陈卫平著 步印童书 出品,2014-04-01,新世界出版社,¥177.50,¥355.00,5.0折,,http://product.dangdang.com/23427436.html,"[""开 本：16开"", ""纸 张：铜版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787510448188""]","[[""图书"", ""童书"", ""中国儿童文学"", ""传记文学""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""历史故事""]]",第十届文津奖获奖图书。历史启蒙四十载，贯通上下五千年。儿童视角讲述、历史现场还原、百篇精彩故事、千幅写实插画及珍贵照片，让孩子历史胃口从此大开，进而了解自己，评价世界！ 步印童书馆出品  
三毛流浪记（彩图注音读物）,http://img3m5.ddimg.cn/60/13/25106955-1_l_9.jpg,606754.0,99.9%,张乐平   著,2017-06-01,少年儿童出版社,¥22.20,¥38.00,5.8折,,http://product.dangdang.com/25106955.html,"[""开 本：24开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787558900648""]","[[""图书"", ""童书"", ""动漫/卡通"", ""漫画""], [""图书"", ""童书"", ""7-10岁"", ""卡通/动漫/图画书""], [""图书"", ""童书"", ""拼音读物""]]",漫画大师张乐平先生经典作品，中国原创漫画之作。润泽几代人的经典形象，陪伴千万人的童年记忆，你值得拥有。讲好中国故事，弘扬传统文化。  
数学帮帮忙（全25册+导读手册）超值礼盒装 （多功能数学绘本，清华附小公开课指定用书！小学数学学习）,http://img3m9.ddimg.cn/8/34/28480229-1_l_43.jpg,326816.0,99.9%,（美）达芙妮・斯金纳,2019-12-01,新蕾出版社,¥137.50,¥275.00,5.0折,,http://product.dangdang.com/28480229.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：28480229""]","[[""图书"", ""童书"", ""幼儿启蒙"", ""数学/汉语""], [""图书"", ""童书"", ""7-10岁"", ""科普/百科""], [""图书"", ""童书"", ""数学启蒙""]]",多功能数学绘本，荣获美国《学习杂志》教师推荐儿童读物奖，两小千金妈妈精心撰写导读手册，培养孩子严谨、辩证的数学思维，帮孩子爱上数学！  
小英雄雨来 快乐读书吧 六年级（上）精美插图版 曹文轩推荐儿童文学经典 中小学生课外阅读经典 6万多名读者热评！,http://img3m8.ddimg.cn/25/29/25257598-1_l_21.jpg,137598.0,100%,管桦 著,2015-04-01,北京教育出版社,¥6.60,¥18.80,3.5折,,http://product.dangdang.com/25257598.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787552256772""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",新老版本随机发货  
细菌世界历险记（又名《灰尘的旅行》，小学语文快乐读书吧・四年级下阅读）[高士其经典科普故事传播科学知识，提升科学素养],http://img3m9.ddimg.cn/17/21/25231949-1_l_20.jpg,71315.0,100%,高士其,2018-02-05,浙江工商大学出版社,¥12.70,¥26.00,4.9折,,http://product.dangdang.com/25231949.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787517825975""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",助力中小学语文课内外阅读，2018年全新详注版，无障碍阅读，中国科普大师高士其作品精选，用浅显易懂的语言解读细菌，助力青少年走上科学道路  
课文作家作品系列 童年的水墨画 三年级下册 张继楼著（语文教材配套、教材编者选编、名家经典阅读、课文作家面对面）人民教育出版社 团购电话:4001066666转6,http://img3m2.ddimg.cn/57/25/28536312-1_l_14.jpg,22734.0,100%,张继楼 著，王林 主编,2020-04-01,人民教育出版社,¥21.30,¥25.00,8.5折,,http://product.dangdang.com/28536312.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787107345203""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]",☆延伸阅读，精选与课文相关的文章，统编教材配套、名家经典阅读、课文作家面对面  
蝴蝶・豌豆花,http://img3m9.ddimg.cn/49/14/28469479-1_l_23.jpg,310842.0,99.9%,金波，冰心，叶圣陶 著，王晓明，蔡皋，周翔 绘，启发绘本 出品,2010-04-01,河北教育出版社,¥10.00,¥25.80,3.9折,,http://product.dangdang.com/28469479.html,"[""开 本：12开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787543480568""]","[[""图书"", ""童书"", ""中国儿童文学"", ""童谣/儿歌""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""开学必备""]]",★阅读正确版本（金波、蔡皋主编）清华附小推荐！市面上有模仿盗版这本书 实在可耻，请大家注意慎重选择！荣获2010年冰心儿童图书奖，2010年童书TOP10童心诗画奖！非注音！  
大头儿子和小头爸爸 小学二年级下册 快乐读书吧 推荐阅读（有声朗读）小学课外阅读,http://img3m7.ddimg.cn/34/18/28548367-1_l_11.jpg,11947.0,100%,郑春华,2020-05-01,商务印书馆,¥7.80,¥21.80,3.6折,,http://product.dangdang.com/28548367.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787100182942"", ""丛书名：快乐读书吧 统编小学语文教材必读丛书""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",新老版本任意发货  
围城,http://img3m9.ddimg.cn/19/20/25095529-1_l_3.jpg,246527.0,99.9%,钱钟书,2017-06-01,人民文学出版社,¥21.70,¥36.00,6.0折,,http://product.dangdang.com/25095529.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787020127894""]","[[""图书"", ""小说"", ""社会小说""]]",用幽默度过艰难时世，以智趣造就岁月风华。人民文学出版社独家版权，经典版本全新修订  
纳瓦尔宝典：从白手起家到财务自由，硅谷知名天使投资人纳瓦尔智慧箴言录,http://img3m5.ddimg.cn/52/9/29393845-1_l_17.jpg,45528.0,100%,埃里克・乔根森,2022-05-31,中信出版社,¥34.00,¥68.00,5.0折,¥47.60,http://product.dangdang.com/29393845.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787521741124""]","[[""图书"", ""管理"", ""金融/投资"", ""投资 融资""]]",从白手起家到财务自由，硅谷知名天使投资人纳瓦尔智慧箴言录；新一代的创业者的《穷查理宝典》，用头脑而非努力赚钱，赢得自由幸福人生；樊登博士、 《增长黑客》作者范冰 、《巨人的方法》作者蒂姆·费里斯作序  
国际大奖小说--亲爱的汉修先生,http://img3m6.ddimg.cn/97/12/29418046-1_l_6.jpg,327787.0,100%,（美）贝芙莉・克莱瑞,2022-06-01,新蕾出版社,¥14.80,¥25.00,5.9折,,http://product.dangdang.com/29418046.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787530761243""]","[[""图书"", ""童书"", ""外国儿童文学"", ""成长/校园小说""], [""图书"", ""童书"", ""7-10岁"", ""文学""]]",1984年纽伯瑞儿童文学金奖作品，经久不衰的畅销书！极佳的故事仍让读者感同身受。一本“亲爱的汉修先生”胜过所有的作文书！  
三个火枪手 大仲马经典长篇小说，又名《三剑客》，多次翻拍为电影 世界名著典藏,http://img3m3.ddimg.cn/65/31/23806793-1_l_11.jpg,22040.0,99.9%,（法）大仲马　著，李玉民　译 万亭文化 出品,2015-06-01,中央编译出版社,¥15.00,¥38.00,3.9折,,http://product.dangdang.com/23806793.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787511726971"", ""丛书名：世界名著典藏系列从书""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]",名家全译本  首都师范大学法语教授、著名翻译家李玉民译作  国际大师插图  
时间是什么 给孩子的时间启蒙科普绘本 养成合理规划时间的好习惯 精装版,http://img3m5.ddimg.cn/57/32/29446815-1_l_11.jpg,24561.0,100%,知了,2022-08-01,北方妇女儿童出版社,¥19.50,¥50.00,3.9折,,http://product.dangdang.com/29446815.html,"[""开 本：16开"", ""纸 张：铜版纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787558564437""]","[[""图书"", ""童书"", ""绘本/图画书"", ""精装图画书"", ""中国原创""], [""图书"", ""童书"", ""3-6岁"", ""卡通/动漫/图画书""]]",时间的诞生、日月年的起源、计时工具的发展演变、生物钟、时差和时空旅行……在轻松的阅读中引导孩子认识时间、管理时间、规划时间  
东野圭吾：解忧杂货店（胡歌、王俊凯、刘昊然倾情推荐，简体中文1000万册纪念版）,http://img3m1.ddimg.cn/75/26/29117361-1_l_11.jpg,2540713.0,99.7%,（日）东野圭吾  著， 新经典  出品,2020-09-01,南海出版公司,¥29.50,¥59.00,5.0折,¥39.99,http://product.dangdang.com/29117361.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787544298995"", ""丛书名：东野圭吾作品""]","[[""图书"", ""小说"", ""外国小说"", ""日本""]]",东野圭吾代表作，1000万册纪念版，写给拥有无尽梦想与烦恼的你。现代人内心流失的东西，这家杂货店能帮你找回。东野圭吾特别寄语中国读者。  
白鹅赶路（陈伯吹儿童文学奖等多项童书大奖得主彭万州赠予孩子的精神养料。手绘精美插图）,http://img3m8.ddimg.cn/78/13/26482578-1_l_25.jpg,22090.0,100%,彭万洲 著；小当当出品,2019-01-01,中译出版社（原中国对外翻译出版公司）,¥12.20,¥24.80,4.9折,,http://product.dangdang.com/26482578.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787500158509""]","[[""图书"", ""童书"", ""中国儿童文学"", ""童话故事""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""11-14岁"", ""文学""]]",彭万洲童话集，包含篇目《夏夜多美》，舒朗排版，大字护眼，阅读不累  
三国演义 四大名著五年级下册推荐阅读(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 12万读者热评！,http://img3m1.ddimg.cn/50/20/22800641-1_l_43.jpg,149726.0,99.9%,（明）罗贯中,2021-06-01,时代文艺出版社,¥6.50,¥14.80,4.4折,,http://product.dangdang.com/22800641.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787538768251""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""四大名著""]]",  
哈利・波特与死亡圣器 （《语文》教材推荐，收入温儒敏撰写的导读，语文七年级下名著阅读推荐书目）人民文学出版社,http://img3m1.ddimg.cn/17/14/26317781-1_l_5.jpg,56227.0,100%,（英）J.K.罗琳 著；马爱农，马爱新 译,2018-12-01,人民文学出版社,¥34.50,¥69.00,5.0折,,http://product.dangdang.com/26317781.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787020146765""]","[[""图书"", ""中小学用书"", ""初中阅读"", ""语文阅读""]]",部编版《语文》教科书推荐，温儒敏老师特别撰写导读  
如果历史是一群喵1-11（套装共11册）,http://img3m7.ddimg.cn/89/15/29472587-1_l_10.jpg,12856.0,99.9%,肥志编绘，漫友文化出品,2022-10-01,广东旅游出版社,¥455.30,¥637.40,7.1折,,http://product.dangdang.com/29472587.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：线装"", ""是否套装：是"", ""国际标准书号ISBN：9787557028657""]","[[""图书"", ""动漫/幽默"", ""大陆漫画"", ""历史/传统文化""]]",肥志人气知识萌漫系列1-11册，一群喵让你通晓中国历史，历史小白也能读懂的漫画中国史！  
童年 快乐读书吧 六年级上册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 220000多名读者热评！,http://img3m2.ddimg.cn/41/11/22800632-1_l_44.jpg,339539.0,99.9%,（苏）高尔基,2021-06-01,时代文艺出版社,¥6.50,¥14.80,4.4折,,http://product.dangdang.com/22800632.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787538768367""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",  
大地球 给孩子的地球探险科普绘本 秒懂自然运转的奥秘 精装版,http://img3m6.ddimg.cn/58/33/29446816-1_l_5.jpg,22770.0,100%,张玉光,2022-08-01,北京联合出版有限公司,¥19.50,¥50.00,3.9折,,http://product.dangdang.com/29446816.html,"[""开 本：16开"", ""纸 张：铜版纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787559663894""]","[[""图书"", ""童书"", ""绘本/图画书"", ""精装图画书"", ""中国原创""], [""图书"", ""童书"", ""3-6岁"", ""卡通/动漫/图画书""]]",攀登“世界屋脊”，揭秘雪人传说，从高山到大海，体验急速漂流，在会下雨的沙漠里畅饮甘霖，穿越地下迷宫，开启岩石变身游戏…… 还有好多微生物朋友和“地球精灵”等你认识！  
心灵教科书绘本系列：西兰花先生的理发店（教会孩子：敢于打破常规思维，培养创新意识）丁虹绘本馆出品[3-6岁],http://img3m4.ddimg.cn/7/29/29167684-1_l_31.jpg,201170.0,100%,[日] 福田纯子/著绘 丁虹/译,2021-01-01,海豚出版社,¥26.30,¥59.80,4.4折,,http://product.dangdang.com/29167684.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787511054289""]","[[""图书"", ""童书"", ""绘本/图画书"", ""精装图画书"", ""日韩""], [""图书"", ""童书"", ""3-6岁"", ""卡通/动漫/图画书""], [""图书"", ""童书"", ""品格培养""]]",日本精选绘本大赛优 秀奖得主福田纯子倾情奉献。阅读推广人、中科院儿童心理学专家徐静琰真诚推荐。教会孩子：敢于打破常规，培养创新意识；告诉大人：有时候，孩子也是我们的老师。附赠大幅实用导读。  
孩子读得懂的山海经（共3册）神话+神兽+异人国,http://img3m4.ddimg.cn/31/1/29152264-1_l_63.jpg,282666.0,100%,兰梦醒 ，贺维芳 ，许萍萍 著，青鸟童书 出品,2020-11-04,北京理工大学出版社,¥85.00,¥219.00,3.9折,¥65.70,http://product.dangdang.com/29152264.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：精装"", ""是否套装：是"", ""国际标准书号ISBN：9787568290685""]","[[""图书"", ""童书"", ""中国儿童文学"", ""传统文化""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""少儿国学""]]",冰心儿童文学奖获奖作家，用270个新故事，再塑山海经宇宙 +三位大师级获奖插画师，原创300幅画作，再现山海经灵魂  
明朝那些事儿增补版.全集,http://img3m6.ddimg.cn/23/11/29296796-1_l_15.jpg,426457.0,99.9%,当年明月 著,2017-05-01,北京联合出版有限公司,¥202.50,¥405.00,5.0折,¥202.50,http://product.dangdang.com/29296796.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：9787559602152"", ""丛书名：YH0123456789""]","[[""图书"", ""历史"", ""历史普及读物"", ""中国古代史""]]",国民史学读本，持续风行十余年，畅销3000万册，全本白话正说明朝大历史  
昆虫记（语文教材“名著导读”经典・八年级上。内容更丰富版本：33张彩色照片图+系统分类目录+昆虫谱系表+大量详注+颠覆性纠错，帮你构筑系统的知识体系）,http://img3m7.ddimg.cn/36/29/25126137-1_l_9.jpg,229962.0,99.9%,[法]让-亨利・法布尔  著    陈筱卿  译,2017-09-01,时代文艺出版社,¥19.70,¥42.00,4.7折,¥2.99,http://product.dangdang.com/25126137.html,"[""开 本：大32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787538754865""]","[[""图书"", ""中小学用书"", ""初中阅读"", ""语文阅读""]]",2018修订版全新上市！应读者需求，新增文前高清彩色照片图，订正内文表述更精准！  
文化苦旅（余秋雨亲定版本，了解中国文化脉络的经典著作，三代人共读的文学典范，中国家长送给子女更多的一本书）,http://img3m6.ddimg.cn/22/7/28541326-1_l_7.jpg,66142.0,100%,余秋雨,2020-05-01,北京联合出版有限公司,¥24.00,¥52.00,4.6折,,http://product.dangdang.com/28541326.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787559639233""]","[[""图书"", ""文学"", ""中国现当代随笔""]]",寻访中华文明的重要遗址，透过山川大地，读懂中国文化  
尼尔斯骑鹅旅行记历险记彩绘注音版 6-12岁小学生课外阅读书籍 一二三年级儿童文学读物带拼音世界经典名著,http://img3m9.ddimg.cn/72/32/29325159-1_l_10.jpg,13488.0,100%,长江出版社,2015-05-01,长江出版社,¥9.90,¥19.80,5.0折,,http://product.dangdang.com/29325159.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787549233687""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]",新版大字注音，小学生无障碍阅读系列，快乐读书吧儿童文学世界名著故事  
骆驼祥子（语文教材”名著导读“经典・七年级下。疑难字词、北京土话等都做了注释，助力无障碍阅读）,http://img3m6.ddimg.cn/35/28/25126136-1_l_13.jpg,202374.0,100%,老舍 著,2017-08-01,浙江工商大学出版社,¥9.90,¥22.00,4.5折,¥1.99,http://product.dangdang.com/25126136.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787517822363""]","[[""图书"", ""中小学用书"", ""初中阅读"", ""语文阅读""]]",老舍先生长篇小说代表作，杰出的现实主义作品，在中国现代文学史上拥有重要的地位。  
城南旧事 (中小学生课外阅读指导丛书)彩插无障碍阅读 智慧熊图书,http://img3m2.ddimg.cn/66/29/28981722-1_l_20.jpg,11749.0,100%,林海音,2020-06-01,商务印书馆,¥8.00,¥17.80,4.5折,,http://product.dangdang.com/28981722.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787100186148"", ""丛书名：教育部推荐中小学生阅读指导丛书 彩插励志版""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]",新老版本任意发货  
我们仨（新版）,http://img3m4.ddimg.cn/49/19/25284154-1_l_29.jpg,1575509.0,99.8%,杨绛,2018-06-01,生活.读书.新知三联书店,¥21.00,¥28.00,7.5折,,http://product.dangdang.com/25284154.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787108063106""]","[[""图书"", ""传记"", ""文学家""]]",《我们仨》杨绛以简洁而沉重的语言，回忆先她而去的女儿钱媛、丈夫钱钟书，回忆一家三口那些快乐而艰难、爱与痛的日子。家庭是一生的庇护所，生命的意义不会因为躯体的生灭而有所改变。三联书店出版  
作家榜：老人与海（董宇辉推荐版《老人与海》！作家鲁羊经典全译本！人可以被毁灭，但不能被打败！读经典名著，认准作家榜！）,http://img3m3.ddimg.cn/25/3/24183943-1_l_242.jpg,317795.0,100%,[美] 海明威 著，作家榜经典名著 出品，鲁羊（诗人作家） 译，大星文化，Slava Shults 绘，,2017-02-20,浙江文艺出版社,¥19.30,¥39.80,4.8折,,http://product.dangdang.com/24183943.html,"[""开 本：32开"", ""纸 张：纯质纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787533947354"", ""丛书名：作家榜经典文库""]","[[""图书"", ""小说"", ""世界名著"", ""美洲""]]",作家鲁羊经典全译本！董宇辉老师多次推荐！30万多条真实口碑热评！连续4年稳居当当世界名著畅销榜！被誉为“海明威在当代汉语中成功的转世！”读经典名著，认准作家榜！谨防假冒！  
可爱的中国中小学生阅读指导书系小学,http://img3m8.ddimg.cn/42/30/29227218-1_l_11.jpg,36472.0,100%,方志敏 著,2021-03-01,人民教育出版社,¥21.30,¥25.00,8.5折,,http://product.dangdang.com/29227218.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787107357046""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]",☆烈士遗著审慎编校，配合导读问答、阅读建议 ☆画家赵奇经典插图，难字注音，搭配注释，自主阅读 ☆创意读后活动，拓展思维，增加阅读兴趣  
人类群星闪耀时（无删减全译本。《一个陌生女人的来信》作者茨威格的传记杰作，14位时代英雄，14个人类命运攸关的历史时刻）,http://img3m5.ddimg.cn/97/21/25215595-1_l_8.jpg,154017.0,100%,〔奥〕斯蒂芬・茨威格 著，潘子力 高中甫 译,2018-01-15,时代文艺出版社,¥12.60,¥28.00,4.5折,¥1.99,http://product.dangdang.com/25215595.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787538756043""]","[[""图书"", ""传记"", ""历史人物""]]",14个人类历史关键时刻的选择与命运，一瞬间的选择，却是人类命运的转变。  
兄弟（余华巅峰之作！有的人活着，生死疲劳；有的人活着，任性逍遥。一部真正伟大又好看的小说。2022新版）,http://img3m6.ddimg.cn/23/34/29424506-1_l_9.jpg,63293.0,100%,余华  著 ，新经典  出品,2022-07-01,北京十月文艺出版社,¥54.50,¥79.00,6.9折,,http://product.dangdang.com/29424506.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787530222324""]","[[""图书"", ""小说"", ""社会小说""]]",余华本人ZUI爱的小说！获多项国际大奖。尖锐勇猛，壮丽肮脏，一部让人又哭又笑、欲罢不能的凡人史诗。“就是天翻地覆慨而慷了，我们还是兄弟。”  
边城（沈从文代表作）,http://img3m9.ddimg.cn/3/1/26922459-1_l_17.jpg,209803.0,100%,沈从文,2019-04-01,中国友谊出版公司,¥15.70,¥32.00,4.9折,,http://product.dangdang.com/26922459.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787505745766""]","[[""图书"", ""小说"", ""社会小说""]]",沈从文代表作之一，重现湘西世界的诗意与纯净，书写人情美、人事美、人性美  
孔子来了！―论语可以这样读（孔子真有趣！在捧腹大笑间读懂《论语》。精装典藏版。歪歪兔童书馆出品）,http://img3m5.ddimg.cn/86/11/29384375-1_l_30.jpg,10645.0,100%,大梁如姬著；徐艺明绘；歪歪兔童书出品,2022-04-01,海豚出版社,¥57.60,¥128.00,4.5折,,http://product.dangdang.com/29384375.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787511058928""]","[[""图书"", ""童书"", ""中国儿童文学"", ""传统文化""], [""图书"", ""童书"", ""7-10岁"", ""文学""]]",30篇精彩的孔子故事+30个生动的课堂札记+30个先秦百科知识，在孔子乐观、坚持的人生故事中轻松读懂《论语》，将孔子的思想与精神化为自己的人生智慧。包括从小学到初中论语金句，知名大学教授审定。7-99  
改变你想法的101篇文章（谷爱凌同款书！认识自己，接纳自己，改变自己的自我启发之书！）,http://img3m9.ddimg.cn/15/29/29462019-1_l_1.jpg,3275.0,100%,布里安娜・威斯特,2022-09-30,中信出版社,¥44.20,¥59.00,7.5折,¥27.99,http://product.dangdang.com/29462019.html,"[""开 本：28开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787521742299""]","[[""图书"", ""成功/励志"", ""智商/智谋"", ""智商/思维训练""]]",谷爱凌同款书，TikTok热门书，认识自己，接纳自己，改变自己的自我启发之书。101篇短文章，每天占用时间不多，可随时随地阅读，要点归纳清晰  
草房子：六年级推荐课外阅读书/曹文轩纯美小说系列,http://img3m7.ddimg.cn/82/12/23953627-1_l_13.jpg,528795.0,99.9%,曹文轩,2016-04-01,江苏凤凰少年儿童出版社,¥9.60,¥22.00,4.4折,,http://product.dangdang.com/23953627.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787534618727""]","[[""图书"", ""童书"", ""中国儿童文学"", ""成长/校园小说""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""开学必备""]]",六年级推荐课外阅读书，国际安徒生奖得主曹文轩原创精品儿童文学作品，累计印刷达500次，总印数超2000万册，送给每个孩子的纯美与感动。  
国内大奖书系-吃黑夜的大象（注音 全彩 美绘）,http://img3m6.ddimg.cn/69/20/23648496-1_l_8.jpg,143573.0,99.9%,白冰　著,2015-03-01,春风文艺出版社,¥9.50,¥19.00,5.0折,,http://product.dangdang.com/23648496.html,"[""开 本：24开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787531347491"", ""丛书名：国内大奖书系""]","[[""图书"", ""童书"", ""中国儿童文学"", ""童话故事""], [""图书"", ""童书"", ""7-10岁"", ""童话""], [""图书"", ""童书"", ""拼音读物""]]",荣获第六届全国优秀儿童文学奖 、入选亲近母语机构分级阅读书目、 著名作家、出版人白冰代表作精选集、 寓教于乐的小童话融入了人生的大智慧。  
文城（余华新书，时隔8年重磅归来，《活着》之后又一精彩力作）,http://img3m0.ddimg.cn/83/2/29199440-1_l_22.jpg,360576.0,100%,余华  著 ， 新经典  出品,2021-03-03,北京十月文艺出版社,¥29.50,¥59.00,5.0折,¥50.00,http://product.dangdang.com/29199440.html,"[""开 本：32开"", ""纸 张：纯质纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787530221099""]","[[""图书"", ""小说"", ""中国当代小说""]]",余华时隔8年重磅新作！写《活着》的余华又回来了！人生就是自己的往事和他人的序章。关于一个人和他一生的寻找，以及一群人和一个汹涌的年代。精彩过瘾，不负等待！易烊千玺挚爱作家。  
