书名,图片,评论数,推荐量,作者,出版日期,出版社,售价,原价,折扣,电子书价格,详情页
细菌世界历险记（又名《灰尘的旅行》，小学语文快乐读书吧・四年级下阅读）[高士其经典科普故事传播科学知识，提升科学素养],http://img3m9.ddimg.cn/17/21/25231949-1_l_20.jpg,71315,100%,高士其,2018-02-05,浙江工商大学出版社,¥12.70,¥26.00,4.9折,,http://product.dangdang.com/25231949.html
课文作家作品系列 童年的水墨画 三年级下册 张继楼著（语文教材配套、教材编者选编、名家经典阅读、课文作家面对面）人民教育出版社 团购电话:4001066666转6,http://img3m2.ddimg.cn/57/25/28536312-1_l_14.jpg,22734,100%,张继楼 著，王林 主编,2020-04-01,人民教育出版社,¥21.30,¥25.00,8.5折,,http://product.dangdang.com/28536312.html
蝴蝶・豌豆花,http://img3m9.ddimg.cn/49/14/28469479-1_l_23.jpg,310842,99.9%,金波，冰心，叶圣陶 著，王晓明，蔡皋，周翔 绘，启发绘本 出品,2010-04-01,河北教育出版社,¥10.00,¥25.80,3.9折,,http://product.dangdang.com/28469479.html
大头儿子和小头爸爸 小学二年级下册 快乐读书吧 推荐阅读（有声朗读）小学课外阅读,http://img3m7.ddimg.cn/34/18/28548367-1_l_11.jpg,11947,100%,郑春华,2020-05-01,商务印书馆,¥7.80,¥21.80,3.6折,,http://product.dangdang.com/28548367.html
围城,http://img3m9.ddimg.cn/19/20/25095529-1_l_3.jpg,246527,99.9%,钱钟书,2017-06-01,人民文学出版社,¥21.70,¥36.00,6.0折,,http://product.dangdang.com/25095529.html
纳瓦尔宝典：从白手起家到财务自由，硅谷知名天使投资人纳瓦尔智慧箴言录,http://img3m5.ddimg.cn/52/9/29393845-1_l_17.jpg,45528,100%,埃里克・乔根森,2022-05-31,中信出版社,¥34.00,¥68.00,5.0折,¥47.60,http://product.dangdang.com/29393845.html
国际大奖小说--亲爱的汉修先生,http://img3m6.ddimg.cn/97/12/29418046-1_l_6.jpg,327787,100%,（美）贝芙莉・克莱瑞,2022-06-01,新蕾出版社,¥14.80,¥25.00,5.9折,,http://product.dangdang.com/29418046.html
三个火枪手 大仲马经典长篇小说，又名《三剑客》，多次翻拍为电影 世界名著典藏,http://img3m3.ddimg.cn/65/31/23806793-1_l_11.jpg,22040,99.9%,（法）大仲马　著，李玉民　译 万亭文化 出品,2015-06-01,中央编译出版社,¥15.00,¥38.00,3.9折,,http://product.dangdang.com/23806793.html
时间是什么 给孩子的时间启蒙科普绘本 养成合理规划时间的好习惯 精装版,http://img3m5.ddimg.cn/57/32/29446815-1_l_11.jpg,24561,100%,知了,2022-08-01,北方妇女儿童出版社,¥19.50,¥50.00,3.9折,,http://product.dangdang.com/29446815.html
东野圭吾：解忧杂货店（胡歌、王俊凯、刘昊然倾情推荐，简体中文1000万册纪念版）,http://img3m1.ddimg.cn/75/26/29117361-1_l_11.jpg,2540713,99.7%,（日）东野圭吾  著， 新经典  出品,2020-09-01,南海出版公司,¥29.50,¥59.00,5.0折,¥39.99,http://product.dangdang.com/29117361.html
白鹅赶路（陈伯吹儿童文学奖等多项童书大奖得主彭万州赠予孩子的精神养料。手绘精美插图）,http://img3m8.ddimg.cn/78/13/26482578-1_l_25.jpg,22090,100%,彭万洲 著；小当当出品,2019-01-01,中译出版社（原中国对外翻译出版公司）,¥12.20,¥24.80,4.9折,,http://product.dangdang.com/26482578.html
三国演义 四大名著五年级下册推荐阅读(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 12万读者热评！,http://img3m1.ddimg.cn/50/20/22800641-1_l_43.jpg,149726,99.9%,（明）罗贯中,2021-06-01,时代文艺出版社,¥6.50,¥14.80,4.4折,,http://product.dangdang.com/22800641.html
哈利・波特与死亡圣器 （《语文》教材推荐，收入温儒敏撰写的导读，语文七年级下名著阅读推荐书目）人民文学出版社,http://img3m1.ddimg.cn/17/14/26317781-1_l_5.jpg,56227,100%,（英）J.K.罗琳 著；马爱农，马爱新 译,2018-12-01,人民文学出版社,¥34.50,¥69.00,5.0折,,http://product.dangdang.com/26317781.html
如果历史是一群喵1-11（套装共11册）,http://img3m7.ddimg.cn/89/15/29472587-1_l_10.jpg,12856,99.9%,肥志编绘，漫友文化出品,2022-10-01,广东旅游出版社,¥455.30,¥637.40,7.1折,,http://product.dangdang.com/29472587.html
童年 快乐读书吧 六年级上册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 220000多名读者热评！,http://img3m2.ddimg.cn/41/11/22800632-1_l_44.jpg,339539,99.9%,（苏）高尔基,2021-06-01,时代文艺出版社,¥6.50,¥14.80,4.4折,,http://product.dangdang.com/22800632.html
大地球 给孩子的地球探险科普绘本 秒懂自然运转的奥秘 精装版,http://img3m6.ddimg.cn/58/33/29446816-1_l_5.jpg,22770,100%,张玉光,2022-08-01,北京联合出版有限公司,¥19.50,¥50.00,3.9折,,http://product.dangdang.com/29446816.html
心灵教科书绘本系列：西兰花先生的理发店（教会孩子：敢于打破常规思维，培养创新意识）丁虹绘本馆出品[3-6岁],http://img3m4.ddimg.cn/7/29/29167684-1_l_31.jpg,201170,100%,[日] 福田纯子/著绘 丁虹/译,2021-01-01,海豚出版社,¥26.30,¥59.80,4.4折,,http://product.dangdang.com/29167684.html
孩子读得懂的山海经（共3册）神话+神兽+异人国,http://img3m4.ddimg.cn/31/1/29152264-1_l_63.jpg,282666,100%,兰梦醒 ，贺维芳 ，许萍萍 著，青鸟童书 出品,2020-11-04,北京理工大学出版社,¥85.00,¥219.00,3.9折,¥65.70,http://product.dangdang.com/29152264.html
明朝那些事儿增补版.全集,http://img3m6.ddimg.cn/23/11/29296796-1_l_15.jpg,426457,99.9%,当年明月 著,2017-05-01,北京联合出版有限公司,¥202.50,¥405.00,5.0折,¥202.50,http://product.dangdang.com/29296796.html
昆虫记（语文教材“名著导读”经典・八年级上。内容更丰富版本：33张彩色照片图+系统分类目录+昆虫谱系表+大量详注+颠覆性纠错，帮你构筑系统的知识体系）,http://img3m7.ddimg.cn/36/29/25126137-1_l_9.jpg,229962,99.9%,[法]让-亨利・法布尔  著    陈筱卿  译,2017-09-01,时代文艺出版社,¥19.70,¥42.00,4.7折,¥2.99,http://product.dangdang.com/25126137.html
文化苦旅（余秋雨亲定版本，了解中国文化脉络的经典著作，三代人共读的文学典范，中国家长送给子女更多的一本书）,http://img3m6.ddimg.cn/22/7/28541326-1_l_7.jpg,66142,100%,余秋雨,2020-05-01,北京联合出版有限公司,¥24.00,¥52.00,4.6折,,http://product.dangdang.com/28541326.html
尼尔斯骑鹅旅行记历险记彩绘注音版 6-12岁小学生课外阅读书籍 一二三年级儿童文学读物带拼音世界经典名著,http://img3m9.ddimg.cn/72/32/29325159-1_l_10.jpg,13488,100%,长江出版社,2015-05-01,长江出版社,¥9.90,¥19.80,5.0折,,http://product.dangdang.com/29325159.html
骆驼祥子（语文教材”名著导读“经典・七年级下。疑难字词、北京土话等都做了注释，助力无障碍阅读）,http://img3m6.ddimg.cn/35/28/25126136-1_l_13.jpg,202374,100%,老舍 著,2017-08-01,浙江工商大学出版社,¥9.90,¥22.00,4.5折,¥1.99,http://product.dangdang.com/25126136.html
城南旧事 (中小学生课外阅读指导丛书)彩插无障碍阅读 智慧熊图书,http://img3m2.ddimg.cn/66/29/28981722-1_l_20.jpg,11749,100%,林海音,2020-06-01,商务印书馆,¥8.00,¥17.80,4.5折,,http://product.dangdang.com/28981722.html
我们仨（新版）,http://img3m4.ddimg.cn/49/19/25284154-1_l_29.jpg,1575509,99.8%,杨绛,2018-06-01,生活.读书.新知三联书店,¥21.00,¥28.00,7.5折,,http://product.dangdang.com/25284154.html
作家榜：老人与海（董宇辉推荐版《老人与海》！作家鲁羊经典全译本！人可以被毁灭，但不能被打败！读经典名著，认准作家榜！）,http://img3m3.ddimg.cn/25/3/24183943-1_l_242.jpg,317795,100%,[美] 海明威 著，作家榜经典名著 出品，鲁羊（诗人作家） 译，大星文化，Slava Shults 绘，,2017-02-20,浙江文艺出版社,¥19.30,¥39.80,4.8折,,http://product.dangdang.com/24183943.html
可爱的中国中小学生阅读指导书系小学,http://img3m8.ddimg.cn/42/30/29227218-1_l_11.jpg,36472,100%,方志敏 著,2021-03-01,人民教育出版社,¥21.30,¥25.00,8.5折,,http://product.dangdang.com/29227218.html
人类群星闪耀时（无删减全译本。《一个陌生女人的来信》作者茨威格的传记杰作，14位时代英雄，14个人类命运攸关的历史时刻）,http://img3m5.ddimg.cn/97/21/25215595-1_l_8.jpg,154017,100%,〔奥〕斯蒂芬・茨威格 著，潘子力 高中甫 译,2018-01-15,时代文艺出版社,¥12.60,¥28.00,4.5折,¥1.99,http://product.dangdang.com/25215595.html
兄弟（余华巅峰之作！有的人活着，生死疲劳；有的人活着，任性逍遥。一部真正伟大又好看的小说。2022新版）,http://img3m6.ddimg.cn/23/34/29424506-1_l_9.jpg,63293,100%,余华  著 ，新经典  出品,2022-07-01,北京十月文艺出版社,¥54.50,¥79.00,6.9折,,http://product.dangdang.com/29424506.html
边城（沈从文代表作）,http://img3m9.ddimg.cn/3/1/26922459-1_l_17.jpg,209803,100%,沈从文,2019-04-01,中国友谊出版公司,¥15.70,¥32.00,4.9折,,http://product.dangdang.com/26922459.html
孔子来了！―论语可以这样读（孔子真有趣！在捧腹大笑间读懂《论语》。精装典藏版。歪歪兔童书馆出品）,http://img3m5.ddimg.cn/86/11/29384375-1_l_30.jpg,10645,100%,大梁如姬著；徐艺明绘；歪歪兔童书出品,2022-04-01,海豚出版社,¥57.60,¥128.00,4.5折,,http://product.dangdang.com/29384375.html
改变你想法的101篇文章（谷爱凌同款书！认识自己，接纳自己，改变自己的自我启发之书！）,http://img3m9.ddimg.cn/15/29/29462019-1_l_1.jpg,3275,100%,布里安娜・威斯特,2022-09-30,中信出版社,¥44.20,¥59.00,7.5折,¥27.99,http://product.dangdang.com/29462019.html
草房子：六年级推荐课外阅读书/曹文轩纯美小说系列,http://img3m7.ddimg.cn/82/12/23953627-1_l_13.jpg,528795,99.9%,曹文轩,2016-04-01,江苏凤凰少年儿童出版社,¥9.60,¥22.00,4.4折,,http://product.dangdang.com/23953627.html
国内大奖书系-吃黑夜的大象（注音 全彩 美绘）,http://img3m6.ddimg.cn/69/20/23648496-1_l_8.jpg,143573,99.9%,白冰　著,2015-03-01,春风文艺出版社,¥9.50,¥19.00,5.0折,,http://product.dangdang.com/23648496.html
文城（余华新书，时隔8年重磅归来，《活着》之后又一精彩力作）,http://img3m0.ddimg.cn/83/2/29199440-1_l_22.jpg,360576,100%,余华  著 ， 新经典  出品,2021-03-03,北京十月文艺出版社,¥29.50,¥59.00,5.0折,¥50.00,http://product.dangdang.com/29199440.html
三国演义幼儿美绘本：全10册（四大名著之一，彩图注音版+有声伴读，好玩有趣的经典名著图画书）,http://img3m9.ddimg.cn/33/6/29204439-1_l_32.jpg,32699,100%,［明］罗贯中／著   吕进／改编   厚绘有期／绘 海豚传媒出品,2021-03-10,长江少年儿童出版社,¥83.10,¥199.00,4.2折,,http://product.dangdang.com/29204439.html
流浪的地球（《三体》作者刘慈欣绚丽想象力之作，关乎人类命运共同体的科幻遐想，大人孩子均可阅读。),http://img3m0.ddimg.cn/44/29/25259300-1_l_27.jpg,675103,100%,刘慈欣 著，小当当童书馆 出品,2018-05-01,浙江教育出版社,¥14.20,¥29.00,4.9折,,http://product.dangdang.com/25259300.html
小英雄雨来 （读经典，悼念不朽的少年英雄，传承红色爱国思想。新版本，手绘精美插图）,http://img3m7.ddimg.cn/25/29/27869317-1_l_14.jpg,96434,100%,管桦；小当当童书馆出品,2019-04-01,辽宁少年儿童出版社,¥13.10,¥26.80,4.9折,,http://product.dangdang.com/27869317.html
这就是二十四节气：升级版 全四册(文津图书奖获奖图书，请认准正版，朱永新教授、周成虎院士推荐，畅销500万册),http://img3m2.ddimg.cn/2/21/27950672-1_l_17.jpg,719907,99.9%,高春香、邵敏/著；许明振、李婧/绘,2019-11-01,海豚出版社,¥75.00,¥150.00,5.0折,,http://product.dangdang.com/27950672.html
我爸爸+我妈妈（全2册）――清华附小推荐经典儿童绘本 ！（启发童书馆出品）,http://img3m0.ddimg.cn/27/8/27913770-1_l_15.jpg,920231,99.8%,〔英〕安东尼・布朗 著，启发童书馆 出品,2019-10-01,河北教育出版社,¥44.90,¥79.60,5.6折,,http://product.dangdang.com/27913770.html
看不见的女性（豆瓣2022年度图书，脱不花、杨澜、梁文道一致推荐！女性生存艰难的原因，就在这本书里）,http://img3m1.ddimg.cn/88/18/29433481-1_l_16.jpg,16681,100%,（英）卡罗琳・克里亚多・佩雷斯  著 ，新经典  出品,2022-07-18,新星出版社,¥34.50,¥69.00,5.0折,¥41.40,http://product.dangdang.com/29433481.html
小彗星旅行记 注音版(北京天文馆推荐) 2021年出版,http://img3m6.ddimg.cn/18/13/29196306-1_l_19.jpg,83419,100%,徐刚 著 绘,2021-02-01,人民邮电出版社,¥19.50,¥39.00,5.0折,¥21.90,http://product.dangdang.com/29196306.html
小英雄雨来 红色经典故事 快乐读书吧 六年级上册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 5万多名读者热评！,http://img3m8.ddimg.cn/8/27/27950678-1_l_35.jpg,156705,100%,管桦,2019-06-01,南方出版社,¥9.90,¥19.80,5.0折,,http://product.dangdang.com/27950678.html
灰尘的旅行 中国科普作品精选 人民教育出版社四年级下册（含上下两本、彩色版~上下册标志在封面书名后，拆塑封可见） 语文教科书配套书目 人教版快乐读书吧,http://img3m0.ddimg.cn/50/19/28521950-1_l_5.jpg,17086,100%,曹文轩、陈先云 主编,2020-01-01,人民教育出版社,¥37.50,¥50.00,7.5折,,http://product.dangdang.com/28521950.html
当我们不再理解世界（短经典精选）（国际布克奖、美国国家图书奖短名单作品！《纽约时报书评周刊》年度好书！入选奥巴马夏季阅读书单！）,http://img3m1.ddimg.cn/17/10/29452121-1_l_10.jpg,6020,99.9%,[智利] 本哈明・拉巴图特 著，施杰 译,2022-09-01,人民文学出版社,¥29.50,¥59.00,5.0折,,http://product.dangdang.com/29452121.html
科幻世界・三体(一),http://img3m3.ddimg.cn/88/28/20989573-1_l_16.jpg,396182,99.9%,刘慈欣，科幻世界出品,2008-01-01,重庆出版社,¥11.50,¥23.00,5.0折,¥12.99,http://product.dangdang.com/20989573.html
天才在左 疯子在右(全新完整版),http://img3m2.ddimg.cn/96/32/25285092-1_l_4.jpg,1572063,99.9%,高铭 著，磨铁图书 出品,2018-05-01,北京联合出版有限公司,¥49.80,¥49.80,10.0折,,http://product.dangdang.com/25285092.html
骑鹅旅行记（《语文》阅读丛书）人民文学出版社,http://img3m4.ddimg.cn/13/19/25287484-1_l_5.jpg,68617,100%,（瑞典）塞尔玛・拉格洛芙,2018-06-01,人民文学出版社,¥23.00,¥46.00,5.0折,,http://product.dangdang.com/25287484.html
钢铁是怎样炼成的（语文教材“名著导读”经典・八年级下。浙大俄语教师周露依据俄文原版直译）,http://img3m9.ddimg.cn/94/1/24228859-1_l_23.jpg,149456,99.9%,[苏]奥斯特洛夫斯基,2017-04-01,浙江工商大学出版社,¥11.70,¥26.00,4.5折,¥1.99,http://product.dangdang.com/24228859.html
底层逻辑：看清这个世界的底牌（俞敏洪、董宇辉东方甄选强势推荐）,http://img3m3.ddimg.cn/80/15/29306753-1_l_14.jpg,154713,99.9%,刘润,2021-10-01,机械工业出版社,¥41.40,¥69.00,6.0折,¥40.00,http://product.dangdang.com/29306753.html
【新版】信谊世界精选图画书-爷爷一定有办法,http://img3m0.ddimg.cn/35/28/29148110-1_l_11.jpg,93314,100%,[加] 菲比・吉尔曼 著；宋�� 译,2013-04-01,明天出版社,¥25.00,¥42.80,5.8折,,http://product.dangdang.com/29148110.html
狼王梦（升级版）/动物小说大王沈石溪・品藏书系,http://img3m9.ddimg.cn/84/5/25309929-1_l_15.jpg,722333,99.9%,沈石溪,2018-07-01,浙江少年儿童出版社,¥14.30,¥26.00,5.5折,,http://product.dangdang.com/25309929.html
没头脑和不高兴（注音版）（简单的故事，不简单的道理）,http://img3m2.ddimg.cn/27/33/25060392-1_l_6.jpg,191244,100%,任溶溶原著 上海美术电影制片厂摄制,2017-10-01,南方出版社,¥10.00,¥20.00,5.0折,,http://product.dangdang.com/25060392.html
汤姆・索亚历险记（批判现实主义作家马克・吐温代表作之一，以自由欢快的田园生活，引发孩子对自由的思考。精美插图）,http://img3m7.ddimg.cn/17/35/26444897-1_l_37.jpg,89325,100%,（美）马克・吐温，姚锦�F译，小当当童书馆出品,2018-12-01,安徽教育出版社,¥11.70,¥24.80,4.7折,,http://product.dangdang.com/26444897.html
森林报 快乐读书吧 四年级下册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 24000多名读者热评！,http://img3m4.ddimg.cn/32/34/27898034-1_l_25.jpg,47566,100%,（苏）维 比安基,2019-06-01,南方出版社,¥14.60,¥32.80,4.5折,,http://product.dangdang.com/27898034.html
神奇校车・图画书版（全12册，新增科学博览会1册）,http://img3m8.ddimg.cn/82/19/25252408-1_l_82.jpg,1728052,99.9%,"(美)乔安娜柯尔 著 ,(美)布鲁斯・迪根 图",2018-05-10,贵州人民出版社,¥99.00,¥198.00,5.0折,,http://product.dangdang.com/25252408.html
失明症漫记（诺奖得主萨拉马戈传世之作！一旦对他人的苦难视而不见，苦难就会在我们中间蔓延。）（读客彩条外国文学文库）,http://img3m2.ddimg.cn/14/7/29444792-1_l_25.jpg,59234,100%,[葡]若泽・萨拉马戈（José Saramago）；范维信 译；读客文化 出品,2022-07-26,河南文艺出版社,¥33.00,¥66.00,5.0折,¥29.99,http://product.dangdang.com/29444792.html
给青年的十二封信（语文教材“名著导读”经典・八年级下。大语文理念打造：思维导图+详细注释+知识拓展+彩色插图）,http://img3m9.ddimg.cn/19/32/28476379-1_l_22.jpg,34688,100%,朱光潜 著,2019-11-18,时代文艺出版社,¥12.30,¥25.00,4.9折,,http://product.dangdang.com/28476379.html
快乐读书吧 七色花 愿望的实现 愿你也有一支神笔(又名：神笔马良) 童年笔记(又名：一起长大的玩具) 小学二年级下册推荐阅读 (有声)套装4册,http://img3m3.ddimg.cn/59/10/28516613-1_l_45.jpg,36787,100%,泰戈尔，洪汛涛，金波，瓦卡达耶夫,2020-02-01,商务印书馆,¥43.60,¥87.20,5.0折,,http://product.dangdang.com/28516613.html
我与地坛,http://img3m9.ddimg.cn/6/16/25244709-1_l_2.jpg,72910,100%,史铁生,2018-03-01,人民文学出版社,¥19.30,¥32.00,6.0折,¥9.99,http://product.dangdang.com/25244709.html
三体（精装纪念版）,http://img3m5.ddimg.cn/17/24/25141265-1_l_10.jpg,81265,99.8%,刘慈欣，科幻世界出品,2017-07-01,重庆出版社,¥144.00,¥288.00,5.0折,,http://product.dangdang.com/25141265.html
文化苦旅（文化导师余秋雨开山之作，逐字修订！）,http://img3m8.ddimg.cn/93/9/27854238-1_l_32.jpg,700487,99.8%,余秋雨 著 时代华语 出品,2019-04-01,长江文艺出版社,¥19.40,¥49.80,3.9折,,http://product.dangdang.com/27854238.html
课文作家作品系列 宇宙的另一边 三年级下册 陈诗哥著（语文教材配套、教材编者选编、名家经典阅读、课文作家面对面）人民教育出版社 团购电话:4001066666转6,http://img3m6.ddimg.cn/78/36/29269626-1_l_9.jpg,17159,100%,陈诗哥 著，王林 主编,2021-05-01,人民教育出版社,¥21.30,¥25.00,8.5折,,http://product.dangdang.com/29269626.html
秘密花园（深受孩子们喜欢的经典童话，翻译文化终身成就奖获得者李文俊倾情翻译）,http://img3m5.ddimg.cn/30/10/24041685-1_l_11.jpg,164714,99.9%,"[美]弗朗西丝・霍奇森・伯内特 著, 李文俊 译",2016-11-01,北京联合出版公司,¥10.40,¥23.00,4.5折,¥1.99,http://product.dangdang.com/24041685.html
十万个为什么 四年级下册快乐读书吧（含上下两本、彩色版 上下册标志拆塑封可见）语文教科书配书目,http://img3m0.ddimg.cn/95/18/29200640-1_l_7.jpg,7658,100%,曹文轩、陈先云 主编,2020-01-01,人民教育出版社,¥56.25,¥75.00,7.5折,,http://product.dangdang.com/29200640.html
知行合一王阳明大全集（套装共3册）（全面解读知行合一理念的经典全集）,http://img3m5.ddimg.cn/65/9/25236155-1_l_3.jpg,60325,100%,度阴山 著；读客文化 出品,2018-03-05,江苏凤凰文艺出版社,¥59.00,¥118.00,5.0折,,http://product.dangdang.com/25236155.html
快乐读书吧四年级下册 十万个为什么 细菌世界历险记灰尘的旅行 穿过地平线看看我们的地球 爷爷的爷爷哪里来人类起源的演化过程 小学推荐阅读套装4册 中小学生课外阅读,http://img3m7.ddimg.cn/35/34/28508867-1_l_39.jpg,45950,100%,李四光，（苏）米 伊林，高士其，贾兰坡，,2019-12-01,南方出版社,¥41.50,¥93.20,4.5折,,http://product.dangdang.com/28508867.html
创业史,http://img3m8.ddimg.cn/73/28/20975698-1_l_11.jpg,162135,99.9%,柳青,2009-01-01,中国青年出版社,¥22.90,¥36.00,6.4折,,http://product.dangdang.com/20975698.html
童年（小学语文“快乐读书吧”・六年级上阅读，高尔基自传体三部曲之一，北师大教授郑海凌翻译）,http://img3m2.ddimg.cn/31/24/25126132-1_l_15.jpg,229615,100%,〔苏〕高尔基 著  郑海凌 译,2017-08-01,浙江工商大学出版社,¥9.80,¥25.00,3.9折,¥1.99,http://product.dangdang.com/25126132.html
南京大屠杀:第二次世界大战中被遗忘的大浩劫（《南京浩劫：被遗忘的大屠杀》）,http://img3m0.ddimg.cn/44/6/23739650-1_l_8.jpg,136529,99.9%,【美】张纯如（Iris Chang）,2015-08-01,中信出版社,¥31.30,¥49.00,6.4折,¥19.99,http://product.dangdang.com/23739650.html
新版・长青藤国际大奖小说书系・第3辑：作文里的奇案,http://img3m8.ddimg.cn/17/7/28520828-1_l_3.jpg,32279,100%,【法】伊夫?格勒韦著；李楹 译,2019-06-01,云南出版集团公司 晨光出版社,¥14.40,¥26.00,5.5折,,http://product.dangdang.com/28520828.html
爱丽丝梦游仙境（《语文》阅读丛书）人民文学出版社,http://img3m7.ddimg.cn/6/12/25287477-1_l_5.jpg,49699,100%,（英）刘易斯・卡洛儿,2018-06-01,人民文学出版社,¥12.20,¥26.00,4.7折,¥13.00,http://product.dangdang.com/25287477.html
曹操（易中天长篇历史小说）,http://img3m4.ddimg.cn/84/1/29451594-1_l_9.jpg,47355,100%,易中天，果麦文化出品,2022-09-01,山东文艺出版社,¥98.00,¥168.00,5.8折,¥132.00,http://product.dangdang.com/29451594.html
水浒传（上下册，全两册，中国古典文学读本丛书）（团购电话:400-1066666转6）,http://img3m2.ddimg.cn/35/7/105272-1_l_3.jpg,269305,99.5%,"（明）施耐庵 ,罗贯中 著",2004-09-01,人民文学出版社,¥27.20,¥50.60,5.4折,¥31.00,http://product.dangdang.com/105272.html
和大人一起读（一至四册）一年级上册 语文教科书配套书目 人教版快乐读书吧,http://img3m3.ddimg.cn/90/20/27931653-1_l_12.jpg,302199,100%,曹文轩、陈先云 主编,2019-08-01,人民教育出版社,¥29.90,¥39.80,7.5折,,http://product.dangdang.com/27931653.html
经典常谈（跟大师学国学）《语文》教材“名著导读”推荐阅读。中华书局出版，全文收录，新增四篇经典解读。,http://img3m6.ddimg.cn/51/3/27850236-1_l_17.jpg,3570,100%,朱自清 著,2019-04-01,中华书局,¥9.00,¥18.00,5.0折,,http://product.dangdang.com/27850236.html
彼得兔的故事 小学生 成长 注音版,http://img3m6.ddimg.cn/72/16/23946786-1_l_8.jpg,71362,99.9%,杨毛毛,2016-05-01,北方妇女儿童出版社,¥22.00,¥40.00,5.5折,,http://product.dangdang.com/23946786.html
漫长的余生：一个北魏宫女和她的时代（当当专享签章版）,http://img3m1.ddimg.cn/38/5/29433431-1_l_22.jpg,15263,99.9%,罗新 著，理想国 出品,2022-07-01,北京日报出版社,¥48.70,¥65.00,7.5折,¥34.30,http://product.dangdang.com/29433431.html
山茶文具店（日本畅销作家小川糸备受好评暖心之作）,http://img3m7.ddimg.cn/49/25/25238317-1_l_10.jpg,238794,100%,"小川糸 著,博集天卷 出品",2018-03-31,湖南文艺出版社,¥24.90,¥49.80,5.0折,¥10.99,http://product.dangdang.com/25238317.html
鲁滨孙飘流记（《语文》阅读丛书）人民文学出版社,http://img3m1.ddimg.cn/36/11/25267311-1_l_7.jpg,26327,99.9%,（英国）丹尼尔・笛福,2018-04-01,人民文学出版社,¥10.30,¥22.00,4.7折,¥11.00,http://product.dangdang.com/25267311.html
半小时漫画中国史0（中国历史从0开讲，从头到尾笑个不停！半小时搞懂中华文明从何起源！混子哥陈磊新作！半小时漫画文库）,http://img3m0.ddimg.cn/2/33/29448740-1_l_10.jpg,138577,100%,陈磊・半小时漫画团队；读客文化 出品,2022-08-01,海南出版社,¥24.90,¥49.90,5.0折,¥25.99,http://product.dangdang.com/29448740.html
朝花夕拾 七年级上册推荐阅读(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 120000多名读者热评！,http://img3m8.ddimg.cn/50/16/22854398-1_l_47.jpg,182277,99.9%,鲁迅,2021-06-01,时代文艺出版社,¥5.30,¥15.80,3.4折,,http://product.dangdang.com/22854398.html
骑鹅旅行记 快乐读书吧 六年级下册推荐阅读(中小学生课外阅读指导丛书)彩插无障碍阅读 智慧熊图书,http://img3m8.ddimg.cn/94/15/29130448-1_l_27.jpg,255155,99.9%,(瑞典) 塞尔玛 拉格洛芙,2020-09-01,商务印书馆,¥6.20,¥19.80,3.1折,,http://product.dangdang.com/29130448.html
沉思录,http://img3m9.ddimg.cn/43/26/20086549-1_l_4.jpg,396475,99.5%,马可.奥勒留 青豆书坊 出品,2008-02-01,中央编译出版社,¥13.00,¥20.00,6.5折,¥6.79,http://product.dangdang.com/20086549.html
骆驼祥子（老舍先生的代表作之一，七年级下册 课外阅读书）,http://img3m0.ddimg.cn/56/14/25064480-1_l_15.jpg,41534,100%,老舍 著，记忆坊出品，有容书邦 发行,2017-04-01,江苏文艺出版社,¥10.60,¥28.00,3.8折,,http://product.dangdang.com/25064480.html
灰尘的旅行 金波、张抗抗推荐 快乐读书吧 爱阅读课程化丛书 青少版（无障碍阅读 彩插本）小学四年级,http://img3m5.ddimg.cn/79/7/28513465-1_l_11.jpg,47354,100%,高士其,2020-02-01,民主与建设出版社,¥9.00,¥24.80,3.6折,,http://product.dangdang.com/28513465.html
叫魂：1768年中国妖术大恐慌（新版本）,http://img3m1.ddimg.cn/63/15/25582851-1_l_6.jpg,96413,99.8%,孔飞力,2018-10-01,上海三联书店,¥24.00,¥48.00,5.0折,,http://product.dangdang.com/25582851.html
小英雄雨来 快乐读书吧 六年级上册推荐阅读(中小学生课外阅读指导丛书)彩插无障碍阅读 智慧熊图书,http://img3m0.ddimg.cn/74/0/28981730-1_l_18.jpg,21278,100%,管桦,2020-06-01,商务印书馆,¥8.00,¥18.80,4.3折,,http://product.dangdang.com/28981730.html
万历十五年 一本好书 腾讯视频栏目推荐,http://img3m5.ddimg.cn/98/7/23445575-1_l_17.jpg,844099,99.4%,黄仁宇,2006-06-01,生活.读书.新知三联书店,¥18.00,¥26.00,6.9折,,http://product.dangdang.com/23445575.html
阿Q正传（收录鲁迅《阿Q正传》《狂人日记》《药》等17个中短篇小说）,http://img3m3.ddimg.cn/26/0/23629643-1_l_9.jpg,227505,99.6%,鲁迅  著,2014-12-01,北京联合出版公司,¥7.80,¥20.00,3.9折,¥0.00,http://product.dangdang.com/23629643.html
大林和小林（2020版中小学生阅读指导目录・5-6年级阅读。《宝葫芦的秘密》作者张天翼代表作之一）,http://img3m1.ddimg.cn/29/31/24198401-1_l_23.jpg,129226,100%,张天翼 著,2017-03-01,浙江工商大学出版社,¥9.00,¥18.00,5.0折,¥1.99,http://product.dangdang.com/24198401.html
